Full Address,id,lat,lng,adl
"500008,Hyderabad,Telangana",1,17.3916498,78.4124191,114
"500018,Hyderabad,Telangana",2,17.4546338,78.4061519,113
"500072,Hyderabad,Telangana",3,17.4801969,78.4171028,106
"500005,Hyderabad,Telangana",4,17.2766381,78.4865602,114
"500055,Hyderabad,Telangana",5,17.5248148,78.4497875,115
"500053,Hyderabad,Telangana",6,17.3355835,78.4675624,105
"500028,Hyderabad,Telangana",7,17.3941033,78.4424956,85
"500013,Hyderabad,Telangana",8,17.3923739,78.5179078,71
"500001,Hyderabad,Telangana",9,17.3874364,78.4721729,66
"500003,Hyderabad,Telangana",10,17.4369259,78.4894015,89
"500023,Hyderabad,Telangana",11,17.3608411,78.4924775,46
"500059,Hyderabad,Telangana",12,17.3523292,78.5065344,68
"500062,Hyderabad,Telangana",13,17.4737487,78.5717631,54
"500039,Hyderabad,Telangana",14,17.4014883,78.5666052,63
"500064,Hyderabad,Telangana",15,17.3558705,78.4544293,47
"500070,Hyderabad,Telangana",16,17.3290084,78.575381,65
"500049,Hyderabad,Telangana",17,17.5048757,78.3584805,78
"500036,Hyderabad,Telangana",18,17.3698322,78.5149805,51
"500002,Hyderabad,Telangana",19,17.3609611,78.4800091,46
"500090,Hyderabad,Telangana",20,17.5323579,78.3785343,80
"500010,Hyderabad,Telangana",21,17.5170626,78.5149691,47
"500035,Hyderabad,Telangana",22,17.3552776,78.5376906,45
"500004,Hyderabad,Telangana",23,17.4069559,78.4610819,52
"500034,Hyderabad,Telangana",24,17.4145868,78.4382677,57
"500079,Hyderabad,Telangana",25,17.3373221,78.532299,38
"500006,Hyderabad,Telangana",26,17.3707365,78.4493362,47
"500032,Hyderabad,Telangana",27,17.4358411,78.3467857,61
"500011,Hyderabad,Telangana",28,17.465975,78.4761359,42
"502032,Hyderabad,Telangana",29,17.509078,78.3001221,58
"500060,Hyderabad,Telangana",30,17.3684567,78.5305261,35
"500020,Hyderabad,Telangana",31,17.4103863,78.5002018,62
"500015,Hyderabad,Telangana",32,17.4777117,78.5107752,40
"500047,Hyderabad,Telangana",33,17.4512177,78.5348507,43
"500024,Hyderabad,Telangana",34,17.3735136,78.4899856,37
"500089,Hyderabad,Telangana",35,17.4027233,78.3773127,44
"500016,Hyderabad,Telangana",36,17.4447097,78.4625904,45
"500068,Hyderabad,Telangana",37,17.3704375,78.5751399,41
"500045,Hyderabad,Telangana",38,17.4395175,78.4280678,47
"500029,Hyderabad,Telangana",39,17.4006724,78.4881736,32
"500012,Hyderabad,Telangana",40,17.3762216,78.4751476,26
"500037,Hyderabad,Telangana",41,17.4899635,78.4352235,44
"501505,Hyderabad,Telangana",42,17.3569462,78.6682395,34
"500076,Hyderabad,Telangana",43,17.444206,78.5665583,39
"502319,Hyderabad,Telangana",44,17.6010791,78.3025653,35
"500017,Hyderabad,Telangana",45,17.4337415,78.5348507,31
