Full Address,id,lat,lng,adl
GHV Medical Anchor Private Limited,1,28.3759887,76.8302361,3395
Saksham INC,2,28.4412866,77.0822064,962
Shri Maruti overseas,3,28.4412866,77.0822064,1047
PURPLE PANDA FASHIONS PRIVATE LIMITED,4,28.5613902,76.9989557,192
S S INTERNATIONAL,5,28.4733669,77.0213437,505
Invicta,6,28.3924415,77.3398797,367
GOPIRAM & SONS BALAJI INDIA,7,28.3775859,76.9057598,72
SUSHIEL ENTERPRISES,8,28.4412866,77.0822064,286
DB CREATIONS PVT LTD,9,28.5018405,77.0869307,247
SHRI SHAKTI,10,28.3876335,77.3031769,215
ACCHA JEE ON-LINE SHOPPING PRIVATE LIMITED,11,28.4514804,77.0092032,173
SATYAM ENTERPRISES,12,28.472886,77.0190175,240
HashTag Retail,13,28.425522,77.0763922,244
HEALTH LIFE,14,28.4490505,77.0666283,172
EAN ENTERPRISES,15,28.4813233,76.9962022,183
GURU JAMBHESHWAR ENTERPRISES,16,28.419423,77.3668965,112
Happy Stoning,17,28.450578,77.313052,121
SATYAM ENTERPRISES,18,28.4736608,77.0219331,117
K Y A APPAREL LLP,19,28.2617634,76.894543,103
Aadiyatri,20,28.450578,77.313052,131
R.S.INTERNATIONAL,21,28.510672,77.0848975,75
MY DESIGN,22,28.4766453,77.3426853,95
INDUS COSMECEUTICALS PRIVATE LIMITED,23,28.4439111,77.3125928,124
NITIN ENTERPRISES,24,28.388645,76.9857968,42
ADDYVERO,25,28.4631955,77.0053459,65
IDAM NATURAL WELLNESS PRIVATE LIMITED,26,28.499355,77.0823033,106
GURKIRPA LIFESTYLE COMPANY,27,28.4639485,77.3050737,70
Happily Unmarried Marketing Private Limited,28,28.469145,77.305398,86
Bright Lifecare Pvt Ltd,29,28.2923922,76.8492642,63
BGN APPARELS,30,28.4324342,76.9965516,58
DHVY GLOBAL PRIVATE LIMITED,31,28.4293894,77.0048023,58
MEGHA TECH,32,28.4255534,77.3358921,47
Ezio,33,28.4937228,77.2915205,52
Pick Use,34,28.475477,77.0644784,18
Jenka Inc,35,28.4412625,77.0133281,70
NATURA HERBAL,36,28.5087415,77.0313401,54
GLITZZ INTERNATIONAL,37,28.4525817,77.3149786,53
MS SHREE NATH JI KHADI UDYOG,38,28.4613622,77.0319917,37
MAHADEV ENTERPRISES,39,28.4091001,77.3051845,40
KIARA ENTERPRISES,40,28.3985667,76.9646908,39
NAUGHTY NINOS PRIVATE LIMITED,41,28.4371377,77.000917,29
SKYLOFTS,42,28.4402253,77.2979436,41
FASHION PARI,43,28.4536233,77.3259812,30
SUNIDHI LIFESTYLE,44,28.5160739,77.0366159,15
AIMS RETAIL SERVICES PVT LTD,45,28.4314429,77.0140978,15
RAJ KAMAL,46,28.4797995,77.0063193,24
MONTE CARLO FASHIONS LIMITED,47,28.3716363,76.8248898,12
BABY SAFETY PVT LTD,48,28.4842608,77.0242478,14
Go5 Incorporation,49,28.48524,77.100998,14
EDIN ENTERPRISES,50,28.3539179,76.9249239,83
VARDAAN INTERNATIONAL,51,28.4412866,77.0822064,17
VLC VENTURES,52,28.3988654,76.9624803,25
KOTTY LIFESTYLE PRIVATE LIMITED,53,28.4866459,77.2918741,11
VIMAL ENTERPRISES,54,28.3539546,76.9290151,36
VISAGE LINES PERSONAL CARE PVT LTD,55,28.361151,76.9347122,46
PH91 CONSUMER GOODS INDIA PRIVATE LIMITED,56,28.3752154,76.9120529,8
MYRA AYURVEDA,57,28.4514852,77.3135288,11
Wearica Clothing,58,28.487039,77.292233,25
ZUNROOF TECH PRIVATE LIMITED,59,28.4371426,77.0082107,22
BHARTI EXIM PRIVATE LIMITED,60,28.4546419,77.3139712,8
Beebay Kids Apparels Pvt. Ltd.,61,28.4328264,77.3080706,11
J.B.D.S POWER,62,28.3641592,76.9354608,1
HELIOS LIFESTYLE PVT LTD,63,28.4909492,77.0638152,14
IVIZ GLOBAL,64,28.4664229,77.0862716,61
GRACE LIFESTYLE PRIVATE LIMITED,65,28.4638793,77.305184,16
OLIVE BAZAR,66,28.3775859,76.9057598,1
TAYSHA JEWELS,67,28.3978997,77.3288529,16
PSK EXPORTS,68,28.4818026,77.3313126,10
Ruhani Toys & Gift Gallery,69,28.5034308,77.0359989,18
KCHP Technologies Pvt Ltd,70,28.434816,77.0713488,18
WEBWAY PARCEL SERVICES PRIVATE LIMITED,71,28.4986483,77.0856642,29
PRINTISTA,72,28.4598894,77.3211297,7
